sbd,toan,ngu_van,ngoai_ngu,li,hoa,sinh,lich_su,dia_ly,gdcd
02000268,8.40,7.75,9.20,8.50,8.00,6.25,-1,-1,-1,
02000269,7.60,6.25,8.60,2.50,7.00,6.00,-1,-1,-1,
02000270,7.00,7.75,9.20,-1,-1,-1,8.00,7.75,8.25,
02000271,8.20,7.00,7.20,7.25,4.75,4.75,-1,-1,-1,
02000272,7.40,7.00,7.40,3.75,7.00,6.50,-1,-1,-1,
02000273,2.20,6.25,5.40,-1,-1,-1,6.00,6.00,8.00,
02000274,7.40,8.25,9.00,-1,-1,-1,8.00,8.50,8.25,
02000275,8.20,6.75,9.80,5.25,8.25,5.75,-1,-1,-1,
02000276,7.20,7.75,7.60,-1,-1,-1,6.50,6.75,9.00,
02000277,8.20,8.50,-1,-1,-1,-1,9.25,9.00,8.75,
02000278,7.60,6.50,7.00,5.50,7.50,7.50,-1,-1,-1,
02000279,7.40,8.25,9.00,-1,-1,-1,9.00,5.75,8.25,
02000280,8.00,7.50,-1,4.25,8.00,6.75,-1,-1,-1,
02000281,7.00,5.75,6.80,6.50,5.00,4.25,-1,-1,-1,
02000282,8.20,8.25,9.00,-1,-1,-1,7.25,8.00,8.50,
02000283,8.00,8.50,9.20,7.75,8.75,6.25,-1,-1,-1,
02000284,7.80,7.25,6.80,6.25,7.25,6.00,-1,-1,-1,
02000285,4.40,6.50,9.60,-1,-1,-1,7.25,7.25,8.25,
02000286,7.80,7.50,9.40,-1,-1,-1,6.75,6.50,7.75,
02000287,8.20,8.00,9.20,6.25,6.75,5.00,-1,-1,-1,
02000288,8.60,7.50,7.40,6.75,4.25,5.25,-1,-1,-1,
02000289,8.00,7.50,6.40,6.00,6.25,3.50,-1,-1,-1,
02000290,8.40,8.75,8.80,-1,-1,-1,8.00,8.00,9.75,
02000291,6.60,8.50,6.00,-1,-1,-1,7.00,8.25,8.00,
02000292,9.00,7.50,7.60,8.25,6.25,5.75,-1,-1,-1,
02000293,8.00,8.00,6.60,-1,-1,-1,4.75,7.00,9.00,
02000294,6.20,8.25,9.00,-1,-1,-1,7.50,7.50,8.50,
02000295,8.00,8.50,9.00,-1,-1,-1,7.25,8.25,9.25,
02000296,7.40,7.75,-1,5.75,4.00,6.25,-1,-1,-1,
02000297,8.60,7.50,9.20,7.50,5.75,6.75,-1,-1,-1,
02000298,8.40,5.75,-1,4.00,8.00,8.50,-1,-1,-1,
02000299,8.40,8.00,7.20,-1,-1,-1,7.50,7.00,8.50,
02000300,9.00,5.75,9.60,8.50,4.50,4.50,-1,-1,-1,
02000301,8.60,8.00,9.60,7.00,8.25,6.75,-1,-1,-1,
02000302,8.40,8.25,8.80,8.00,8.25,7.00,-1,-1,-1,
02000303,7.60,7.25,6.60,-1,-1,-1,5.25,6.50,7.75,
02000304,6.40,7.75,-1,7.75,5.00,6.25,-1,-1,-1,
02000305,8.80,4.75,9.20,6.25,9.25,7.25,-1,-1,-1,
02000306,6.60,7.75,-1,6.00,4.50,5.50,-1,-1,-1,
02000307,7.00,6.00,9.20,2.75,8.25,5.25,-1,-1,-1,
02000308,8.60,4.75,8.80,7.50,9.00,4.50,-1,-1,-1,
02000309,7.60,6.50,9.20,8.25,9.00,6.75,-1,-1,-1,
02000310,5.00,6.75,3.00,-1,-1,-1,5.25,5.75,7.50,
02000311,7.40,6.75,9.40,4.25,5.00,6.50,-1,-1,-1,
02000312,8.60,5.75,8.00,7.50,4.50,5.00,-1,-1,-1,
02000313,7.80,8.25,9.80,5.25,7.25,6.75,-1,-1,-1,
02000314,7.60,7.50,9.60,5.25,5.50,7.00,-1,-1,-1,
02000315,7.60,7.00,8.80,6.50,5.25,6.00,-1,-1,-1,
02000316,8.20,7.50,-1,4.50,9.00,7.50,-1,-1,-1,
02000317,7.60,6.00,9.00,4.75,5.00,6.00,-1,-1,-1,
02000318,8.60,6.50,6.20,8.00,8.75,4.25,-1,-1,-1,
02000319,6.20,7.50,5.80,-1,-1,-1,4.75,5.00,8.25,
02000320,4.80,7.00,4.40,-1,-1,-1,5.50,5.25,6.75,
02000321,7.40,6.75,9.20,8.25,7.75,6.25,-1,-1,-1,
02000322,8.00,6.00,9.40,7.00,8.75,6.75,-1,-1,-1,
02000323,7.60,7.75,9.00,7.00,7.50,4.50,-1,-1,-1,
02000324,9.20,6.75,8.60,8.00,3.75,4.75,-1,-1,-1,
02000325,8.60,8.25,8.00,8.00,9.00,6.25,-1,-1,-1,
02000326,7.40,7.75,6.60,-1,-1,-1,6.75,6.50,8.00,
02000327,8.40,5.00,8.60,6.75,7.50,6.25,-1,-1,-1,
02000328,7.20,7.50,-1,5.75,5.50,6.25,-1,-1,-1,
02000329,8.20,3.75,7.80,8.00,5.75,4.75,-1,-1,-1,
02000330,8.00,7.50,9.20,-1,-1,-1,8.25,7.50,7.25,
02000331,8.40,7.50,7.60,7.50,7.75,4.75,-1,-1,-1,
02000332,7.40,6.25,-1,5.00,9.00,8.75,-1,-1,-1,
02000333,8.60,7.00,8.20,-1,-1,-1,7.50,8.25,8.00,
02000334,8.00,8.25,7.20,-1,-1,-1,7.75,8.00,7.25,
02000335,7.20,5.25,9.00,6.25,5.75,6.50,-1,-1,-1,
02000336,8.60,6.00,7.60,4.50,9.00,9.50,-1,-1,-1,
02000337,7.20,6.75,9.40,6.75,6.75,6.75,-1,-1,-1,
02000338,8.00,6.00,9.00,4.75,8.25,8.75,-1,-1,-1,
02000339,7.40,4.50,8.60,4.75,9.25,7.25,-1,-1,-1,
02000340,7.60,6.75,8.00,8.25,5.50,5.25,-1,-1,-1,
02000341,8.60,6.75,7.80,7.75,8.00,6.00,-1,-1,-1,
02000342,6.40,6.00,3.60,-1,-1,-1,5.50,6.50,6.50,
02000343,7.20,6.25,-1,4.00,6.25,5.75,-1,-1,-1,
02000344,7.60,7.00,9.80,6.50,7.00,7.25,-1,-1,-1,
02000345,8.00,6.50,7.20,8.00,7.25,5.50,-1,-1,-1,
02000346,7.60,7.00,-1,-1,-1,-1,7.75,8.50,8.00,
02000347,7.60,6.00,8.80,-1,-1,-1,8.75,9.00,8.75,
02000348,5.20,5.25,4.60,4.00,4.50,5.25,-1,-1,-1,
02000349,7.80,6.50,-1,8.00,7.75,7.25,-1,-1,-1,
02000350,7.60,7.25,8.40,5.00,7.50,6.25,-1,-1,-1,
02000351,8.60,7.00,9.80,8.25,8.25,9.00,-1,-1,-1,
02000352,8.40,7.25,7.40,7.25,7.50,5.25,-1,-1,-1,
02000353,4.80,6.00,2.40,-1,-1,-1,5.50,6.50,7.00,
02000354,8.80,6.25,9.60,6.00,7.75,5.75,-1,-1,-1,
02000355,9.00,7.25,6.60,8.25,9.00,6.00,-1,-1,-1,
02000356,8.60,7.00,9.00,8.75,9.50,6.75,-1,-1,-1,
02000357,5.80,6.75,8.00,-1,-1,-1,6.00,6.75,8.25,
02000358,7.80,7.75,7.60,7.50,7.50,7.25,-1,-1,-1,
02000359,7.80,8.25,9.00,7.50,6.75,6.00,-1,-1,-1,
02000360,7.80,2.75,6.80,3.00,4.75,5.75,-1,-1,-1,
02000361,8.40,7.75,8.60,6.00,5.75,6.75,-1,-1,-1,
02000362,8.20,7.00,9.00,5.75,6.00,6.00,-1,-1,-1,
02000363,7.20,5.50,7.20,2.50,6.00,6.25,-1,-1,-1,
02000364,7.60,6.75,9.20,7.50,7.25,8.00,-1,-1,-1,
